Service ID,Service Title,Starting Price (Headline),Price Note,Pricing Model,Summary,What's Included,Extras / Add-ons
organization-setup,Organization Setup,"From ₹50,000","Discovery workshop, tooling plan, and rollout roadmap. Larger programs quoted after scope.","Project-based · phased milestones","Most engagements start with a compact discovery and design phase so leadership gets clarity before a wider rollout. We then quote implementation separately if you want hands-on execution across teams.","Stakeholder discovery sessions and constraints review | Technology and tooling recommendations aligned to your scale | Process and workflow outline (roles, handoffs, basics of governance) | Written roadmap and next-step checklist you can execute internally | One structured handover or Q&A workshop","End-to-end rollout across departments, dedicated PM, and ongoing operating support are quoted after scope."
software-app-development,Software & App Development,"From ₹1,50,000","Typical MVPs and focused product builds. Enterprise and multi-platform apps scoped separately.","Fixed phases, milestone billing, or retainer","Starting ranges usually cover a scoped web product or a single-platform app with a clear feature set. We break work into milestones (design, build, hardening, launch) so you see progress before each payment.","Requirements workshop and backlog for the agreed scope | UI implementation for screens in scope (design may be separate or bundled) | APIs and integrations explicitly listed in the statement of work | Tested build deployed to your hosting or ours for go-live | Post-launch stabilization window as agreed in the proposal","Second mobile codebase, heavy third-party integrations, compliance-heavy sectors, and 24/7 operations are priced after technical discovery."
website-development,Website Development,"From ₹10,999","Compact landing or small multi-page sites. E-commerce, member portals, and app-style products quoted separately.","Fixed-scope project · milestone billing","Starting pricing is aimed at a tightly scoped site: agreed page count, responsive layout, and go-live on your domain. Add-ons like custom illustrations, large content migration, or complex integrations are quoted after a short brief so the scope stays predictable.","Kickoff brief to lock pages, sections, and must-have features | Responsive implementation for the agreed page set | Contact or lead form (or equivalent CTA) as scoped | Deployment to agreed hosting or our recommended setup | Basic on-page SEO setup (titles, meta, semantic structure) | Handover walkthrough and agreed revision round(s) in the proposal","Online stores, bookings, dashboards, custom backends, and multilingual or large content programs are scoped as separate phases."
infrastructure-cloud,Infrastructure & Cloud,"From ₹45,000","One-time setup, migration, or pipeline work. Ongoing DevOps retainers from ₹25,000/mo.","One-time projects + optional monthly retainer","Entry pricing often covers a well-defined slice: a new environment baseline, a CI/CD path for one app, or a small migration batch. Larger footprints and always-on operations move to milestone billing or a retainer.","Architecture or target-state diagram for the agreed slice | Implementation of agreed automation (e.g. pipeline, basic IaC) in your cloud account | Runbook or handover notes for your team | Knowledge transfer session on what was built","Multi-account landing zones, Kubernetes production hardening, and 24/7 on-call are quoted separately."
security-compliance,Security & Compliance,"From ₹65,000","Assessments and remediation sprints. Full compliance programs (ISO, SOC 2, etc.) on quote.","Assessment sprint · remediation quoted separately","Starting fees typically fund a focused assessment: interviews, configuration review, and a prioritized findings report. Remediation, policy packs, and audit support are scoped as follow-on work with clear deliverables.","Scoped assessment against agreed systems or product areas | Risk and gap summary with severity and effort hints | Prioritized remediation backlog you can execute with us or internally | Walkthrough of results with your stakeholders","Formal compliance programs (e.g. ISO 27001, SOC 2 readiness), pen tests, and recurring vCISO-style support are quoted as separate packages."
automation-ai,Automation & AI,"From ₹1,20,000","Workflow automation and integrations. Custom AI/ML and LLM features priced to your use case.","Fixed automation packs or time-and-materials","Early budgets usually target one or two high-friction workflows or a bounded integration (e.g. CRM ↔ billing). Broader RPA estates, custom models, and production LLM features scale with data, safety, and hosting needs.","Process mapping and automation design for agreed flows | Build of connectors, bots, or workflows in the chosen stack | Basic monitoring and error handling for automated paths | Documentation and operator handover","Fine-tuned models, high-volume document AI, human-in-the-loop review UIs, and enterprise SLAs are scoped after a short discovery."
it-support-maintenance,IT Support & Maintenance,"From ₹18,000/mo","Monthly retainers with defined SLAs. Ad-hoc support and hourly blocks also available.","Monthly retainer (SLA-based) or prepaid hours","Retainers bundle a predictable response window and agreed channels (e.g. ticket + email). Higher tiers add monitoring, change windows, and faster severity-1 targets. Smaller stacks can start with a limited-hour pack instead.","Defined coverage window and response targets per severity | Ticketing or agreed channel for requests | Routine patching and updates within agreed scope | Monthly or quarterly health summary (tier-dependent)","24/7 coverage, dedicated on-call, and major version upgrades may require a higher tier or add-on quote."
consulting-strategy,Consulting & Strategy,"From ₹35,000","Strategy sprints and workshops. Ongoing advisory available on a monthly retainer.","Sprint workshop · optional advisory retainer","Starting engagements are usually a short sprint: interviews, artifact review, and a concrete recommendation deck or roadmap. Longer due diligence, vendor RFP support, or embedded advisory is quoted as a follow-on.","Facilitated sessions with your leadership or product owners | Synthesis of goals, constraints, and options | Prioritized roadmap or decision memo | Optional follow-up Q&A session","Vendor scoring matrices, full RFP management, and multi-month transformation programs are scoped separately."
presentation-document-services,Presentation & Document Services,"From ₹12,000","Per deck or document package. Pitch decks, profiles, and reports with revision rounds included.","Per deliverable · fixed rounds of revision","Packages are sized by slide count, brand complexity, and whether we structure narrative from scratch or polish your draft. Larger decks, print-ready reports, and rush timelines are quoted upfront.","Agreed slide or page count and master layout system | On-brand visuals, charts, and iconography as scoped | Fixed number of revision rounds (stated in proposal) | Source files in PowerPoint / Slides / PDF as agreed","Custom illustration, motion/video, multilingual versions, and same-day turnaround are add-ons."
marketing-seo-optimization,Marketing & SEO Optimization,"From ₹28,000/mo","Retainers for SEO, content, and campaigns. One-time technical SEO audits from ₹45,000.","Monthly growth retainer · one-time audits available","Ongoing retainers cover a defined monthly scope: technical fixes within budget, content or landing pages, and reporting. Paid media spend is billed separately; our fee covers strategy, build, and optimization of campaigns you fund.","Monthly plan with prioritized SEO or growth tasks | Reporting on rankings, traffic, or campaign KPIs as agreed | On-page and technical fixes within the retainer hour budget | Quarterly roadmap refresh where applicable","Ad spend (Meta, Google, etc.), large-scale content production, and influencer or PR retainers are quoted separately."
database-development-integration,Database Development & Integration Services,"From ₹55,000","Schema design, migration, APIs, and integrations. Complex multi-system work quoted after discovery.","Milestone project · schema / migration / API slices","Starting budgets usually map to one clear outcome: a v1 schema and ERD, a bounded migration with validation, or API layers for a specific integration. Multi-year legacy decompositions and real-time sync at scale are phased and priced accordingly.","Target schema or integration design for the agreed scope | Implementation scripts or services with basic tests | Cutover or rollout plan for the scoped data move | Handover documentation for operations","CDC pipelines, zero-downtime cutovers, and regulatory data residency reviews are quoted after technical assessment."
